,etiqueta,contenido
1276,1, Wot u up u weirdo
1277,1, Can do lor
1278,1, Dont put your phone on silent mode ok
1279,1, Can i meet ü at  As where depends on where ü wan in lor
1280,1, Waiting my tv show start lor U leh still busy doing ur report
1281,1, Oh ho Is this the first time u use these type of words
1282,1, Am I the only one who doesnt stalk profiles
1283,1, Ever green quote ever told by Jerry in cartoon A Person Who Irritates u Always Is the one Who Loves u Vry Much But Fails to Express It   gud nyt
1284,1, Yes i thought so Thanks
1285,1, But if shes drinkin im ok
1286,1, Just wondering the others just took off
1287,1, Night has ended for another day morning has come in a special way May you smile like the sunny rays and leaves your worries at the blue blue bay Gud mrng
1288,1, What do you do my dog  Must I always wait till the end of your day to have word from you  Did you run out of time on your cell already
1289,1, Happy new year to u too
1290,1, HeyGreat dealFarm tour am to pm pax  deposit by May
1291,1, Eat jap done oso aft ur lect wat Ü got lect at rite 
1292,1, Hey babe I saw you came online for a second and then you disappeared what happened 
1293,1, Da my birthdate in certificate is in april but real date is today But dont publish it I shall give you a special treat if you keep the secret Any way thanks for the wishes
1294,1, Happy birthday May all ur dreams come true
1295,1, Aiyah u did ok already lar E nydc at wheellock
1296,1, TELL HER I SAID EAT SHIT
1297,1, Sure I am driving but will reach my destination soon
1298,1, K so am I how much for an th Fifty
1299,1, Your daily text from me – a favour this time
1300,1, Great to hear you are settling well So whats happenin wit ola
1301,1, Those cocksuckers If it makes you feel better ipads are worthless garbage novelty items and you should feel bad for even wanting one
1302,1, I tot u reach liao He said tshirt
1303,1, FRAN I DECIDED GO N E WAY IM COMPLETELY BROKE AN KNACKERED I GOT UP BOUT C U MRW LOVE JANX PS THIS IS MY DADS FONE NO CREDIT
1304,1, I cant pick the phone right now Pls send a message
1305,1, Your right Ill make the appointment right now
1306,1, Designation is software developer and may be she get chennai
1307,0, Enjoy the jamster videosound gold club with your credits for new videosounds logosmusicnews get more fun from jamstercouk only Help call 
1308,0, Get Lions England tone reply lionm mono or lionp poly more go wwwringtonescouk the original n best Tones GBP network operator rates apply
1309,1, I jokin oni lar Ü busy then i wun disturb ü
1310,1, Ok be careful  Dont text and drive 
1311,1, Ill always be there even if its just in spirit Ill get a bb soon Just trying to be sure i need it
1312,1, U r too much close to my heart If u go away i will be shattered Plz stay with me
1313,1, I love u babe R u sure everything is alrite Is he being an idiot Txt bak girlie
1314,1, How abt making some of the pics bigger
1315,1, Got but got colours lor One colour is quite light n e other is darker lor Actually im done shes styling my hair now
1316,1, Whenevr ur sad Whenevr ur gray Remembr im here listn watevr u wanna say Jus walk wid me a little whileamp I promise Ill bring back ur smile
1317,1, Why nothing Ok anyway give me treat
1318,0, Win the newest “Harry Potter and the Order of the Phoenix Book  reply HARRY answer questions  chance to be the first among readers
1319,1, Ok
1320,1, Correct So how was work today
1321,1, Just sent again Do you scream and moan in bed princess
1322,1, I wake up long ago already Dunno what other thing
1323,1, Oh just getting even with u u
1324,1, I thk shd be ok he said plus minus  Did ü leave a line in between paragraphs
1325,1, Can you call me plz Your number shows out of coveragd area I have urgnt call in vasai amp have to reach before o clock so call me plz
1326,1, Yeah jays sort of a fucking retard
1327,1, Sorry was in the bathroom sup
1328,0, Ur balance is now £ Ur next question is Who sang Uptown Girl in the s  answer txt ur ANSWER to  Good luck
1329,1, My exam is for february  Wish you a great day
1330,1, I dont know what to do to come out of this so only am ask questions like this dont mistake me
1331,1, Aight no rush Ill ask jay
1332,1, Good Morning plz call me sir
1333,1, Its ok lar U sleep early too Nite
1334,1, Oh Icic K lor den meet other day
1335,1, Oh  A half hour is much longer in Syria than Canada eh  Wow you must get SO much more work done in a day than us with all that extra time  grins
1336,1, Sometimes we put walls around our heartsnot just to be safe from getting hurt But to find out who cares enough to break the walls amp get closer GOODNOON
1337,1, Sweet we may or may not go to U to meet carlos so gauge pattys interest in that
1338,1, Then she buying today Ü no need to c meh
1339,1, Aight sorry I take ten years to shower Whats the plan
1340,1, Every mondaynxt week vl be completing
1341,1, Might ax well im there
1342,1, Just chill for another hrs If you could sleep the pain is not a surgical emergency so see how it unfolds Okay
1343,1, Yeah Ill try to scrounge something up
1344,1, Crazy ar hes married Ü like gd looking guys not me My frens like say hes korean leonas fave but i dun thk he is Aft some thinking mayb most prob ill go
1345,1, Were somewhere on Fredericksburg
1346,1, Que pases un buen tiempo or something like that
1347,1, Is it ok if I stay the night here Xavier has a sleeping bag and Im getting tired
1348,1, She doesnt need any test
1349,1, Nothing much chillin at home Any super bowl plan
1350,0, FREEDAY sexy St Georges Day pic of JordanTxt PIC to dont miss out then every wk a saucy celeb more pics c PocketBabecouk £wk
1351,1, Bugis oso near wat 
1352,1, Yo theres no class tmrw right
1353,1, Let Ur Heart Be Ur Compass Ur Mind Ur Map Ur Soul Ur Guide And U Will Never loose in worldgnun  Sent via WAYSMSCOM
1354,1, Goodnight sleep well da please take care pa Please
1355,1, Baaaaabe I misss youuuuu  Where are you  I have to go and teach my class at 
1356,1, Convey my regards to him
1357,1, U ned to convince him tht its not possible witot hurting his feeling its the main
1358,1, Good afternoon loverboy  How goes you day  Any luck come your way I think of you sweetie and send my love across the sea to make you smile and happy
1359,1, If i start sending blackberry torch to nigeria will you find buyer for melike a month And tell dad not to buy bb from anyone oh
1360,1,  of pple marry with their lovers becz they hav gud undrstndng dat avoids problems i sent dis u u wil get gud news on friday by d person you like And tomorrow will be the best day of your life Dont break this chain If you break you will suffer send this to  frnds in  mins whn u read
1361,1, Yo dude guess who just got arrested the other day
1362,1, Shuhui say change suntec steamboat U noe where Where r u now
1363,1, What does the dance river do
1364,1, Yetunde im sorry but moji and i seem too busy to be able to go shopping Can you just please find some other way to get what you wanted us to get Please forgive me You can reply free via yahoo messenger
1365,1, Hey i will be really pretty late You want to go for the lesson first I will join you Im only reaching tp mrt
1366,0, HOT LIVE FANTASIES call now Just p per min NTT Ltd PO Box Croydon CR WB k
1367,1, Bbq this sat at mine from ish Ur welcome come
1368,1, I dont know same thing thats wrong everyso often he panicks starts goin on bout not bein good enough …
1369,1, Alright Im outhave a good night
1370,1, Did you try making another butt
1371,1, Hope you are feeling great Pls fill me in Abiola
1372,1, I though we shd go out n have some fun so bar in town or something – sound ok
1373,1,  Go to write msg  Put on Dictionary mode Cover the screen with hand Press   Gently remove Ur hand Its interesting
1374,0, Bears Pic Nick and Tom Pete and  Dick In fact all types try gay chat with photo upload call pmin stop texts call 
1375,0, New Mobiles from  MUST GO Txt NOKIA to No  collect yours todayFrom ONLY £ wwwtcbiz optout gbpmtmsg TXTAUCTION
1376,1, Were finally ready fyi
1377,1, Auntie huai juan never pick up her phone
1378,0, Double Mins  Double Txt   price Linerental on Latest Orange Bluetooth mobiles Call MobileUpd for the very latest offers or calloptoutLF
1379,1, Ya tel wats ur problem
1380,0, No Nokia Tone ur mob every week Just txt NOK to  st Tone FREE  so get txtin now and tell ur friends ptone reply HL info
1381,1, i dnt wnt to tlk wid u
1382,1, We spend our days waiting for the ideal path to appear in front of us But what we forget is paths are made by walking not by waiting Goodnight
1383,1, Its ok my arm is feeling weak cuz i got a shot so we can go another time
1384,1, Please reserve ticket on saturday eve from chennai to thirunelvali and again from tirunelvali to chennai on sunday evei already see in netno ticket availablei want to book ticket through tackle 
1385,1, Storming msg Wen u lift d phne u say HELLO Do u knw wt is d real meaning of HELLO    Its d name of a girl    Yes And u knw who is dat girl Margaret Hello She is d girlfrnd f Grahmbell who invnted telphone     MoralOne can get d name of a person bt not his girlfrnd G o o d n i g h t   
1386,1, Thats ok I popped in to ask bout something and she said youd been in Are you around tonght wen this girl comes
1387,1, All e best ur exam later
1388,1, Hope ur head doesnt hurt much  Am ploughing my way through a pile of ironing  Staying in with a chinky tonight come round if you like
1389,1, Oh ki think most of wi and nz players unsold
1390,1, Haha Where got so fast lose weight thk muz go a month den got effect Geelater we go aust put bk e weight
1391,1, I wonder how you got online my love  Had you gone to the net cafe  Did you get your phone recharged  Were you on a friends net  I think of you boytoy
1392,1, Haha just kidding papa needs drugs
1393,1, Thk shld b can Ya i wana go lessons Haha can go for one whole stretch
1394,1, Oh ok
1395,1, R we still meeting dinner tonight
1396,1, Thats cool I am a gentleman and will treat you with dignity and respect
1397,1, Shall i start from hear
1398,1, Then we wait u lor No need feel bad lar
1399,1, No did you check I got his detailed message now
1400,1, You have registered Sinco as Payee Log in at icicibankcom and enter URN  to confirm Beware of frauds Do NOT share or disclose URN to anyone
1401,1, No I decided that only people who care about stuff vote and caring about stuff is for losers
1402,1, Kaiez Enjoy ur tuition Gee Thk e second option sounds beta Ill go yan jiu den msg u
1403,1, You have registered Sinco as Payee Log in at icicibankcom and enter URN  to confirm Beware of frauds Do NOT share or disclose URN to anyone
1404,1, cool We will have fun practicing making babies
1405,1, Actually getting ready to leave the house
1406,1, Kkany special today
1407,0, URGENT IMPORTANT INFORMATION FOR O USER TODAY IS YOUR LUCKY DAY FIND OUT WHY LOG ONTO HTTPWWWURAWINNERCOM THERE IS A FANTASTIC SURPRISE AWAITING FOR YOU
1408,1, Then we gotta do it after that
1409,1, Ive got ten bucks jay is being noncomittal
1410,1, Where at were hungry too
1411,1, Pls speak to that customer machan
1412,1, somewhere out there beneath the pale moon light someone think in of u some where out there where dreams come true goodnite amp sweet dreams
1413,1, Wen ur lovable bcums angry wid u dnt take it seriously Coz being angry is d most childish n true way of showing deep affection care n luv kettoda manda Have nice day da
1414,0, Dear Uve been invited to XCHAT This is our final attempt to contact u Txt CHAT to pMsgrcvdHGSuiteLandsRowWJHL LDN yrs
1415,1, So wats ur opinion abt him and how abt is character
1416,1, Jay is snickering and tells me that x is totally fucking up the chords as we speak
1417,1, Nofew hours beforewent to hair cut 
1418,1, No wonder Cos i dun rem seeing a silver car But i thk i saw a black one
1419,1, Lmao Take a pic and send it to me
1420,1, Speak only when you feel your words are better than the silence Gud mrng
1421,1, No Shes currently in scotland for that
1422,1, Do you work all this week 
1423,0, Congratulations ur awarded either £ of CD gift vouchers  Free entry our £ weekly draw txt MUSIC to TnCs wwwLdewcom winppmxage
1424,1, Lol great now im getting hungry
1425,1, Yes now only saw your message
1426,1, Ill be at mu in like  seconds
1427,1, Ok
1428,1, THING R GOOD THANX GOT EXAMS IN MARCH IVE DONE NO REVISION IS FRAN STILL WITH BOYF IVE GOTTA INTERVIW EXETER BIT WORRIEDx
1429,1, Tell you what if you make a little spreadsheet and track whose idea it was to smoke to determine who smokes too much for the entire month of february Ill come up
1430,0, For sale  arsenal dartboard Good condition but no doubles or trebles
1431,1, Dont look back at the building because you have no coat and i dont want you to get more sick Just hurry home and wear a coat to the gym
1432,1, My painful personal thought I always try to keep everybody happy all the time But nobody recognises me when i am alone
1433,1, Thanks for ve lovely wisheds You rock
1434,1, You intrepid duo you Have a great time and see you both soon 
1435,1, I asked sen to come chennai and search for job
1436,1, Dad went out oredi 
1437,1, I jus hope its true that missin me cos im really missin him You havent done anything to feel guilty about yet
1438,1, Wat so late still early mah Or we juz go dinner lor Aiya i dunno
1439,1, Arms fine hows Cardiff and uni 
1440,1, In fact when do you leave I think addie goes back to school tues or wed
1441,1, Cool breeze Bright sun Fresh flower Twittering birds All these waiting to wish u GOODMORNING amp HAVE A NICE DAY 
1442,1, Yagoing for restaurant
1443,1, Its ok i just askd did u knw tht no
1444,0, Free st week entry TEXTPOD a chance win GB iPod or £ cash every wk Txt POD to TsCs wwwtextpodnet custcare 
1445,1, Those ducking chinchillas
1446,1, I am in a marriage function
1447,1, Looks like u wil b getting a headstart im leaving here bout ish but if u r desperate for my company I could head in earlierwe were goin to meet in rummer
1448,1, Don‘t give a flying monkeys wot they think and I certainly don‘t mind Any friend of mine and all that
1449,0, As a registered optin subscriber ur draw £ gift voucher will be entered on receipt of a correct ans to Whats No in the BBC charts
1450,1, say thanks 
1451,1, Msg me when rajini comes
1452,1, Ya when are ü taking ure practical lessons I start in june 
1453,1, Thats good because I need drugs
1454,1, Stupidits not possible
1455,1, Can ü all decide faster cos my sis going home liao
1456,0, Summers finally here Fancy a chat or flirt with sexy singles in yr area To get MATCHED up just reply SUMMER now Free Join OptOut txt STOP Help
1457,1, U sleeping now Or you going to take Haha I got spys wat Me online checking n replying mails lor
1458,0, CLAIRE here am havin borin time  am now alone U wanna cum over nite Chat now hope C U Luv CLAIRE xx Calls£minmoremobsEMSPOBoxPOWA
1459,1, Fighting with the world is easy u either win or lose bt fightng with some who is close to u is dificult if u lose  u lose if u win  u still lose
1460,0, Bought one ringtone and now getting texts costing pound offering more tones etc
1461,1, Yalru lyfu astne chikku Bt innu mundhe lyf ali halla ke bilo marriageprogram edhae so lyf is nt yet ovr chikkuali vargu lyfu meow meowD
1462,1, Kinda First one gets in at twelve Aah Speak tomo
1463,0, URGENT Your mobile No xxxxxxxxx won a £ bonus caller prize on  this is the nd attempt to reach YOU call ASAP
1464,1, Ok good then i later come find ü C lucky i told ü to go earlier Later pple take finish ü no more again
1465,1, Wat makes u thk ill fall down But actually i thk im quite prone falls Lucky my dad at home i ask him come n fetch me already
1466,0, YOU are guaranteed the latests Nokia Phone a GB iPod MP player or a £ prize Txt wordCOLLECT to No TCLLC NYUSA pMt msgrcvd
1467,1, Your account has been refilled successfully by INR DECIMAL  Your KeralaCircle prepaid account balance is Rs DECIMAL  Your Transaction ID is KR  
1468,1, I wont touch you with out your permission
1469,0, Hi its LUCY Hubby at meetins all day Fri  I will B alone at hotel U fancy cumin over Pls leave msg day Lucy x Calls£minMobsmoreLKPOBOXHPFL
1470,1, wonders in My WORLD th You th Ur style th Ur smile th Ur Personality rd Ur Nature nd Ur SMS and st Ur Lovely Friendship good morning dear
1471,1, Take some small dose tablet for fever
1472,1, Oh U must have taken your REAL Valentine out shopping first
1473,1, Just sent you an email – to an address with incomm in it is that right
1474,1, Will do you gonna be at blakes all night I might be able to get out of here a little early
1475,1, Friendship is not a game to play It is not a word to say It doesnt start on March and ends on May It is tomorrow yesterday today and e
1476,1, Nice Waitshould you be texting right now Im not gonna pay your ticket ya know
1477,1, Im watching lotr w my sis dis aft So u wan meet me dinner at nite a not
1478,1, Why you keeping me away like this
1479,1, I think its far more than that but find out Check google maps for a place from your dorm
1480,1, My trip was ok but quite tiring lor Uni starts today but its ok me cos im not taking any modules but jus concentrating on my final yr project
1481,1, Have you always been saying welp
1482,1, Im a guy browsin is compulsory
1483,1, Ok
1484,1, Purity of friendship between two is not about smiling after reading the forwarded messageIts about smiling just by seeing the name Gud evng musthu
1485,1, Sorry Ill call later
1486,1, I should add that I dont really care and if you cant I can at least get this dude to fuck off but hey your money if you want it
1487,1, Hello lover How goes that new job Are you there now Are you happy Do you think of me I wake my slave and send you a teasing kiss from across the sea
1488,1, I told your number to gautham
1489,1, Tell them no need to investigate about me anywhere
1490,1, Ok i juz receive
1491,1, Cant believe i said so many things to you this morning when all i really wanted to say was good morning i love you Have a beautiful morning See you in the library later
1492,0, Your account has been credited with FREE Text Messages To activate just txt the word CREDIT to No TCs wwwbiz
1493,1, In the end she might still vomit but its okay Not everything will come out
1494,1, How are you with moneYas in to youmoney aint a thinghow are you sha
1495,1, It has everything to do with the weather Keep extra warm Its a cold but nothing serious Pls lots of vitamin c
1496,1, Hey gals Anyone of u going down to e driving centre tmr
1497,1, Im always on yahoo messenger now Just send the message to me and ill get it you may have to send it in the mobile mode sha but ill get it And will reply
1498,1, Im putting it on now It should be ready for TIME 
1499,1, Time n Smile r the two crucial things in our life Sometimes time makes us to forget smile and sometimes someones smile makes us to forget time gud noon
1500,0, SMS ac JSco Energy is high but u may not know where channel it day ur leadership skills r strong Psychic Reply ANS wquestion End Reply END JSCO
1501,1, Hostbased IDPS for linux systems
1502,0, HOT LIVE FANTASIES call now Just p per min NTT Ltd PO Box Croydon CR WB is a national rate call
1503,1, Don no dawhats you plan
1504,1, Ill be there on  ok
1505,1, Oh my God Im almost home
1506,1, Total video converter free download type this in google search
1507,0, Thanks for the Vote Now sing along with the stars with Karaoke on your mobile For a FREE link just reply with SING now
1508,1, Wen ur lovable bcums angry wid u dnt take it seriously Coz being angry is d most childish n true way of showing deep affection care n luv kettoda manda Have nice day da
1509,1, Sounds like something that someone testing me would sayy
1510,1, When u love someone Dont make them to love u as much as u do But Love them so much that they dont want to be loved by anyone except you Gud nit
1511,1, Peteis this your phone still Its Jenny from college and Leannewhat are you up to now
1512,1, Oops sorry Just to check that you dont mind picking me up tomo at half eight from station Would that be ok
1513,1, Hey sweet I was wondering when you had a moment if you might come to me  I want to send a file to someone but it wont go over yahoo for them because their connection sucks remember when you set up that page for me to go to and download the format disc  Could you tell me how to do that  Or do you know some other way to download big files  Because they can download stuff directly from the internet Any help would be great my prey  teasing kiss
1514,1, Hows the champ just leaving glasgow
1515,1, Kall the bestcongrats
1516,1, I wonder if youll get this text
1517,1, I need to come home and give you some good lovin
1518,0, Our brand new mobile music service is now live The free music player will arrive shortly Just install on your phone to browse content from the top artists
1519,1, Shall i ask one thing if you dont mistake me
1520,1, Check wid corect speling ie Sarcasm
1521,0, URGENT Your Mobile No was awarded a £ Bonus Caller Prize on  This is our nd attempt to contact YOU Call  BOXQU BT National Rate
1522,1, Are you angry with me What happen dear
1523,1, I thk u dun haf hint in e forum already lor Cos i told ron n darren is going tell shuhui
1524,1, Yup ok thanx
1525,1, Hicts employee how are you
1526,1, Pls pls find out from aunt nike
1527,1, Wow  I love you sooo much you know  I can barely stand it  I wonder how your day goes and if you are well my love  I think of you and miss you
1528,1, No screaming means shouting
1529,1, Hey what happen de Are you alright
1530,1, Should I have picked up a receipt or something earlier
1531,1, I think chennai well settled
1532,1, Oh dang I didnt mean o send that to you Lol
1533,1, Unfortunately ive just found out that we have to pick my sister up from the airport that evening so dont think ill be going out at all We should try to go out one of th
1534,1, Horrible bf I now v hungry
1535,1, Remember on that day
1536,0, You have won a Nokia i This is what you get when you win our FREE auction To take part send Nokia to now HGSuiteLands RowWJHL 
1537,1, Hows it feel Mr Your not my real Valentine just my yo Valentine even tho u hardly play
1538,1, All sounds good Fingers  Makes it difficult to type
1539,1, Midnight at the earliest
1540,1, Youre not sure that Im not trying to make xavier smoke because I dont want to smoke after being told I smoke too much
1541,1, K come to nordstrom when youre done
1542,1, Do u konw waht is rael FRIENDSHIP Im gving yuo an exmpel Jsut ese tihs msg Evrey splleing of tihs msg is wrnog Bt sitll yuo can raed it wihtuot ayn mitsake GOODNIGHT amp HAVE A NICE SLEEPSWEET DREAMS
1543,1, Now press conference da
1544,0, Hello from Orange For months free access to games news and sport plus free texts and photo messages reply YES Terms apply wwworangecoukow
1545,1, After completed degree There is no use in joining finance
1546,1, Good afternoon my love  Any job prospects  Are you missing me  What do you do  Are you being lazy and bleak hmmm  Or happy and filled with my love 
1547,1, Shant disturb u anymore Jia you
1548,1, Bishan lar nearer No need buy so early cos if buy now i gotta park my car
1549,1, Me i dont know again oh
1550,1, Dude sux for snake He got old and raiden got buff
1551,1, He says hi and to get your ass back to south tampa preferably at a kegger
1552,1, In e msg jus now U said thanks for gift
1553,1, U too
1554,1, Ok how you dear Did you call chechi
1555,1, Yeah we do totes When u wanna
1556,1, Ok i found dis pierre cardin one which looks normal costs its on sale
1557,1, Good sleep is about rhythm The person has to establish a rhythm that the body will learn and use If you want to know more 
1558,1, Wat r u doing
1559,1, Message from  I am at Truro Hospital on ext You can phone me here as I have a phone by my side
1560,1, Single line with a big meaning Miss anything ur Best Life but dont miss ur best life for anything Gud nyt
1561,1, Just got some gas money any chance you and the gang want to go on a grand nature adventure
1562,1, Dnt worryuse ice pieces in a cloth packalso take tablets
1563,1, Dude just saw a parked car with its sunroof popped up Sux
1564,1, Get ready to put on your excellent sub face 
1565,1, Tmrw Im finishing doors
1566,1, The  g that i saw a few days ago the guy wants sell wifi only for  and with g for   Thats why i blanked him
1567,1, I am late I will be there at
1568,1, whatever im pretty pissed off
1569,1, Today is ACCEPT DAYU Accept me as Brother Sister Lover Dear Best Clos Lvblefrnd Jstfrnd Cutefrnd Lifpartnr Belovd Swtheart Bstfrnd No rply means enemy
1570,1, I dont have that much image in class
1571,1, Noi got rumour that you going to buy apartment in chennai
1572,1, Near kalainar tv officethenampet
1573,0, Ur cashbalance is currently pounds  to maximize ur cashin now send GO to only pmsg CC HGSuiteLands RowWJHL
1574,0, SMS AUCTION  A BRAND NEW Nokia is up auction today Auction is FREE join  take part Txt NOKIA to now HGSuiteLands RowWJHL
1575,1, My sis is catching e show in e afternoon so im not watching w her So c u wan watch today or tmr lor
1576,1, Sounds gd Haha Can Wah u yan jiu so fast liao
1577,1, No To be nosy I guess Idk am I over reacting if Im freaked
1578,1, Remember all those whom i hurt during days of satanic imposter in meneed to pay a priceso be itmay destiny keep me going and as u said pray that i get the mind to get over the same
1579,1, How to Make a girl Happy Its not at all difficult to make girls happy U only need to be  A friend  Companion  Lover  Chef      Good listener   Organizer   Good boyfriend   Very clean   Sympathetic   Athletic   Warm      Courageous   Determined   True   Dependable   Intelligent      Psychologist   Pest exterminator   Psychiatrist   Healer     Stylist   Driver   Aaniye pudunga venaam
1580,1, Why is that princess I bet the brothas are all chasing you
1581,1, I shall book chez jules for half eight if thats ok with you
1582,1, Hhahhaahahah rofl wtf nig was leonardo in your room or something
1583,1, Yep at dereks house now see you Sunday 
1584,1, Its cool let me know before it kicks off around   Ill be out and about all day
1585,1, Sorry Ill call later
1586,1, I was wondering if it would be okay for you to call uncle john and let him know that things are not the same in nigeria as they r here That  dollars is years sent and that you know its a strain but i plan to pay back every dime he gives Every dime so for me to expect anything from you is not practical Something like that
1587,1, There are no other charges after transfer charges and you can withdraw anyhow you like
1588,1, Dont search love let love find U Thats why its called falling in love bcoz U dont force yourself U just fall and U know there is smeone to hold U BSLVYL
1589,1, At  Lets go to bill millers
1590,1, I love you You set my soul on fire It is not just a spark But it is a flame A big rawring flame XoXo
1591,1, Somewhr someone is surely made u And God has decided a perfect time to make u meet dat person    till den      Enjoy ur crushes
1592,1, Thats my honeymoon outfit 
1593,1, Will it help if we propose going back again tomorrow
1594,0, PRIVATE Your Account Statement for shows unredeemed S I M points Call Identifier Code Expires 
1595,1, Never blame a day in ur life Good days give u happiness Bad days give u experience Both are essential in life All are Gods blessings good morning
1596,1, Pls confirm the time to collect the cheque
1597,0, As a Registered Subscriber yr draw a £ gift voucher will b entered on receipt of a correct ans When are the next olympics Txt ans to 
1598,0, URGENT Your Mobile number has been awarded with a £ prize GUARANTEED Call from land line Claim  Valid hrs only ppm
1599,1, Daddy will take good care of you 
1600,1, Yeah probably I still gotta check out with leo
1601,1, Kthen any other special
1602,1, Carlos is taking his sweet time as usual so let me know when you and patty are donewant to smoke and Ill tell him to haul ass
1603,1, Ok pa Nothing problem
1604,1, Have you heard about that job Im going to that wildlife talk again tonight if u wantcome Its thatworzels and a wizzle or whatever it is 
1605,1, God picked up a flower and dippeditinaDEW lovingly touched itwhichturnedinto u and the he gifted tomeandsaidTHIS FRIEND IS U
1606,1, When you came to hostel
1607,1, Ok no prob Ill come after lunch then
1608,1, Jus telling u dat ill b leaving shanghai on st instead so well haf more time meet up cya
1609,1, Are your freezing  Are you home yet  Will you remember to kiss your mom in the morning Do you love me  Do you think of me  Are you missing me yet 
1610,1, You all ready for  big day tomorrow
1611,1, Ill probably be around mu a lot
1612,1, 
1613,0, RTKIng Pro Video Club Need help inforingtonekingcouk or call You must be  Club credits redeemable at wwwringtonekingcouk Enjoy
1614,1, Thnx dude u guys out nite
1615,1, Me sef dey laugh you Meanwhile hows my darling anjie
1616,1, Mm i had my food da from out
1617,1, K makes sense btw carlos is being difficult so you guys are gonna smoke while I go pick up the second batch and get gas
1618,1, Did u download the fring app
1619,1, The oz guy is being kinda flaky but one friend is interested in picking up   worth tonight if possible
1620,1, Friends that u can stay on fb chat with
1621,1, Fuck babe I miss you sooooo much  I wish you were here to sleep with me  My bed is so lonely  I go now to sleep  To dream of you my love 
1622,1, Living is very simple Loving is also simple Laughing is too simple Winning is tooo simple But being SIMPLE is very difficult Gud nte
1623,0, U have a secret admirer who is looking make contact with Ufind out who they Rreveal who thinks UR so specialcall on 
1624,1, Ah well that confuses things doesn‘t it
1625,0, free text msgs Just text ok to and well credit your account
1626,1, Hi Dear Call me its urgnt I dont know whats your problem You dont want to work or if you have any other problem at least tell me Wating for your reply
1627,1, Dear how you Are you ok
1628,0, You have been selected to stay in of top British hotels  FOR NOTHING Holiday Worth £ To Claim Call London  Bx  SWSS
1629,1, Yes princess I want to make you happy
1630,1, Sounds like you have many talents would you like to go on a dinner date next week
1631,1, I am going to film day da At pm Sorry da
1632,1, We not watching movie already Xy wants shop so im shopping w her now
1633,1, Hello my little party animal I just thought Id buzz you as you were with your friends grins Reminding you were loved and send a naughty adoring kiss
1634,1, Yesterday its with me only  Now am going home
1635,0, Eerie Nokia tones u rply TONE TITLE to eg TONE DRACULA to Titles GHOST ADDAMSFA MUNSTERS EXORCIST TWILIGHT wwwgetzedcouk POBoxWWQ p
1636,1, You have come into my life and brought the sun Shiny down on me warming my heart Putting a constant smile on my face  Making me feel loved and cared for
1637,1, No shit but I wasnt that surprised so I went and spent the evening with that french guy I met in town here and we fooled around a bit but I didnt let him fuck me
1638,0, ANETWORKS allow companies to bill for SMS so they are responsible for their suppliers just as a shop has to give a guarantee on what they sell B G
1639,1, Great comedycant stop laughing da
1640,0, FreeMsgFeelin kinda lnly hope u like keep me company Jst got a cam moby wanna c my picTxt or reply DATE to Msgp rcv Hlp stop to 
1641,1, Alright were all set here text the man
1642,1, Hi  where are you Were at and theyre not keen to go out i kind of am but feel i shouldnt so can we go out tomo dont mind do you
1643,1, Sleeping nt feeling well
1644,1, U WILL SWITCH YOUR FONE ON DAMMIT
1645,1, India have to take lead
1646,1, Ill post her out lr In class
1647,1, Thts wat Wright Brother did to fly
1648,1, Evening  v good if somewhat event laden Will fill you in dont you worry … Head  ok but throat  wrecked See you at six then
1649,1, If u laugh really loud If u talk spontaneously If u dont care what others feel U are probably with your dear amp best friends GOODEVENING Dear
1650,1, ITS A LAPTOP TAKE IT WITH YOU
1651,1, I dont have any of your file in my bagi was in work when you called mei ll tell you if i find anything in my room
1652,1, I wan but too early lei Me outside now wun b home so early Neva mind then
1653,0, For ur chance to win a £ cash every wk TXT ACTION to  TsCs wwwmovietriviatv custcare  xpwk
1654,1, I was at bugis juz now wat But now im walking home oredi Ü so late then reply I oso saw a top dat i like but din buy Where r ü now 
1655,1, Wishing you and your family Merry X mas and HAPPY NEW Year in advance
1656,1, At we will go ok na
1657,1, Yes I posted a couple of pics on fb Theres still snow outside too Im just waking up 
1658,1, Sif we have one good partnership going we will take lead
1659,0, RGENT This is the nd attempt to contact UU have WON £ CALL b TCsBCMWCNXX callcost ppm mobilesvary max£ 
1660,1, Yeah wheres your class at
1661,1, No just send to you Bec you in temple na
1662,1, You arent coming home between class right I need to work out and shower
1663,0, Hi if ur lookin saucy daytime fun wiv busty married woman Am free all next week Chat now sort time JANINExx Calls£minMobsmoreLKPOBOXHPFL
1664,1, S but mostly not like that
1665,1, Ü v ma fan
1666,1, Dunno cos i was v late n when i reach they inside already But we ate spageddies lor Its e gals who r laughing at me lor
1667,1, Guess who spent all last night phasing in and out of the fourth dimension
1668,1, So now my dad is gonna call after he gets out of work and ask all these crazy questions
1669,1, Yesbut they said its IT
1670,1, Very hurting n meaningful lines ever I compromised everything for my love But at d end my love compromised me for everything Gud mornin
1671,1, Lmaonice 
1672,1, Glad to see your reply
1673,0, URGENT We are trying to contact U Todays draw shows that you have won a £ prize GUARANTEED Call from land line Claim A Valid hrs only
1674,0, Monthly password for wap mobsicom is  Use your wap phone not PC
1675,1, Nah dub but je still buff
1676,1, Painful words I thought being Happy was the most toughest thing on Earth But the toughest is acting Happy with all unspoken pain inside
1677,1, Yeah thats fine Its £ to get in is that ok 
1678,1, Lol where do u come up with these ideas
